apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
se coiffer ;thivi ga-n (Tf) ;thivi ga-n ;thivi bwa-n bahlic ;thii bwa-n ;thii bwa-n 
peigne ;bahlic ;bahlic ;;balic, batie-n ;balic, balie-n 
épouiller ;;pai ga-n ;pai bwa-n ;pai bwa-n ;pai bwa-n 
rasoir, ciseaux ;khét (7) ;khét ;knet ;knet ;ba-pe-thalep 
se raser ;po-khét/ thapi puhwa-n (7) ;pe-thalep ;pe-thalep ;pe-thalep ;pe-thalep 
couper les cheveux ;cei ga-n (T) ;cei ga-n ;cei bwa-n ;cei bwa-n/ thavi bwa-n ;cei bwa-n/ thavi bwa-n
tatouage ;hakhan po-hakhain ;hahGn po-hahiin ;haknun pmwa haknun ;hangun po-hangun ;gan po-gan 
faire des tatouages ;;;gayaak ;gayaak ;gaak (Y)
scarification avec &pine d'oranger, briiler la peau pour tatouage ;gayaak ;gayaak 
debout, 4 l'arrét ;tu- ;tu- ;tu- 
assis ;ta- ;ta- ;ta- ;ta- ;ta- 
couché ;khé- ;kha ;kno- ;kno- ;khé- (Y) kne- (Ww) 
marche, déplacement ;te- ;te- ;te~ ;te- ;te- 
projection, percussion hori- zontale (avec hache ou casse- téte par exemple) ;the- ;the~ ;the- ;the- ;the- 
Mouvement de haut en bas vec le pied ou vec une sagaie, un baton etc.) (a~ en piquant a~ ;taa- ;taa~ ;tee- ;tee- ;tee- 
mouvement avec la main ;to- ;to- ;to- ;to- ;co~ 
Mouvement avec les dents ;cai- ;cai- ;cai- ;cai- ;cai- 
rester, demeurer ;moo ;moo ;moo ;moo ;moo 
debout, immobile, & l'arrét ;tuut ;tuut ;tuut ;tuut ;cuut 
debout cSte 4 cite ;tu-bapala (2) ;tu-bavala ;tu-bapala ;tu-bavala ;cu-nyin (Y) cu-bavala (W) 
debout jambes écartées ;tu-salaap (7) tu-sala (0) ;tu-salaam ;tu-salaam ;tu-salaam ;cu~kaayava/ cu-salaam (Y) cu~heleaa (W) 
debout bras écartés ;;tu-halam ;tu-halam ;tu-halam ;cu-haLam 
debout en position d'es~ crimeur ;tu-thalop ;tu-thalop ;tu-thalop ;tu-thalop ;cu-thalop 
debout bras croisés dans le dos ;tu-biavhiing (2) ;tu~biavhiing ;tu-biafiing ;tu-biaiing ;cu-biaiing 
debout en portant quelque- chose ;tu-vhe (T) ;tu-vhe ;tu-fe ;tu-ve ;cu-e 
debout adossé ;tu-u (2) ;tu-u-da ;tu~teea ;tu-teea ;cu~ceea
debout, une jambe repliée ;tu-po-ho~n hyalek 
debout penché sur ;le c6té tu-saasek 
debout jambes écartées, bus- te penché en avant ;tu-taajito/ tu-ciiluk 
debout (caché)derriére un arbre ;tu-bee-n ceek 
assis, s'asseoir ;tago ;tago ;tago ta-hwapwage ;tago ta-hwahwage ;tago ta-hwahwage 
assis en tailleur ;ta-po-pwage ;ta-hwahwage ;ta-thakeei ho ;ta-thaxeei ho-n ;ta~saxeei he-n 
assis jambes allongées ;ta-thakeei ho-n ;ta-thaxeei ho-n ta-thabilii ho-n 
assis jambes allongées et croisées l'une sur l'autre ;ta-thabili o ho 
assis adossé ;ta-uda ;ta-uda ;ta-teea/ ta-uda ;ta teea/ ta-uda ;ta-~ceea 
assis jambes relevées, repliées serrées ;ta-patuki ho ;ta-parugi ho-n 
A genoux, assis sur talons ;ta-thi~garn-jit les ;ta~thi-gan-jit 
assis immobile, sans par- ler ;;ta~khdneeng/ ta-ma~higuk ;ta-ma-higuk ;ta-knoneeng/ ta~higuk ;ta~khéneeng (Y) ta~kneneeng/ta-higuk (WH) 
assis a l'affiit, en cachette ;ta-khédua ;ta-ddba ;ta-hyaakno ;ta-d6ba ta~hnaguk ;ta-ddba ta~hnyabic 
assis prés du feu ;ta-madauk ;ta-madauk ;ta-hnaguk knona ~ knonap ;knona ;khégo (Y) knego (W) 
@tre couché, étendu, allongé ;khona ~ khdnap ;khéna ~ khdnap 
couché sur le dos ;khd-kalada ;khd-kalada ;kno-kalada ;kno-kalada ;kh@-kalada (Y) kne-kalada (W) 
couché 4 plat ventre ;khd-hwa loop ;khd-hwa loop ;kno-hwaloop/ kno-cavulu ;kno-hwa Loop ;khé-hwaloop (Y) kne-hwaloop (W) 
couché en chien de fusil ;kha-hny iwaak ;khd-hny iwdak ;kno-hny iwaak ;kno-hny iwaak ;kH@-hiaak (Y) 
couché sur le flanc ;khd-thibu ;khé-thi-hi ;kno-thi-hi ;kno-thi~hi ;kh@-thi-hi (Y) kne-thi-hi (W) 
allongé accoudé ;khé-thi-hi 
couché en travers ;khd-pabohap ;khé-pabohap ;kno-pabohap/ kno~falogapi ;kno-paboap ;khé-paboeep (Y) kne-paboeep (W) 
couché prés du feu ;khd-vha-cegen ;khd-vhaegen ;kno~fa-cegen ;kno-ayegen ;khé-pha-yebwen (Y) kne-pha-yebwen (W) 
@6tre devant, premier ;hnaut ;hnaut ;hnaut ;hnaut knut ;hagut khat (¥) knut (W)
@étre derriére ;khot ;khat ;knut 
attendre ;mohi Lai ;mohilai ;mohilai ;moi lai ;mwaaji 
faire l'arbre fourchu ;po-jika (T) ;po-jixa ;;po~-jixa ;po~jixa 
@étre accroupi ;tavhatuut (7) ;taaruut ;tafatuut ;taaruut ;taayuut 
se baisser, se pencher ;ciiluk ;cii luk ;ciihluk ;ciiluk ;ciiluk 
marcher en cliner (par respect) se baissant, s‘in- ;ciimo (7) ;citmo ;ciimo ;ciimo ;ciimo 
s'agenouiller ;thi-gan-jit ;thi-gan-jit ;thi-gan-jit ;thi-gan~jit ;thi-gajit 
ramper, se trainer sur le ventre ;beela (T) nubet (0) ;beela ;beela/ nubet ;beela ;beela 
tamper, marcher 4 ;4 pattes yova ;yova ;yova ;yova ;yéa [yea] 
ramper, avancer en se trai- nant sur les genoux (respect) ;;;;;ngeba 
se rouler par terre, frétil- ler (anguille) ;;thabit ;pe-thelim ;thabit ;tharabit (7) thabit (W) 
trembler (froid, peur) ;cicen ;ceyen ;cecen ;ceyen ;ceyen 
s'agiter, bouger ;;tuliip ;tuliip ;tuliip ;culiip 
toucher 4 tout ;phwenuui (7) ;fwenuui ;ka~venu ;pmunui ;vage 
s'agiter, toucher 4 tout ;;paba ;paba ;paba 
sursauter, s'agiter ;;hwelep ;;hwelep ;hwelep (W) 
se lever ;waada ;waada ;caget ;caget ;cabwet 
6tre serré (dans une foule) ;pe-tobi leec ;pe-tobilec ;pe~tobi lec ;pe-tobi lec ;pe-cobi lec 
se faufiler, se glisser ;u-tibit ;pe-tibit ;pe-utua ;u-tibit ;u-tibit 
forcer pour passer, aller a contre-courant ;waatia ;waaria ;waatia ;waaria ;waaria 
se cacher ;ta-khédua ;ta-hédua ;ta-thicnyam ;ta-thinyam ;ta~kuluk/ ta-6déba (Y) ta-thinyam (W) 
se dissimuler en rampant ;;thiap 
se mettre en retrait, se reculer ;jinuec (T) ;hnuec ;jinuec/ hneuc ;inuec/ hnuec ;inuec 
se rétracter, rentrer (téte de tortue), baisser, se re- tirer (eau) ;hneuc (Tf) ;hneuc ;hneuc ;hneuc ;hnuec
aller (transversalement, hori- zontalement, d'une vallée dans l'autre, etc.) ;han ;hen ;hngen ;hen ;hen 
venir (vers le locuteur) s'éloigner (du locuteur) partir, s'en aller revenir vepartir ;ha-me ha-dec ha-nga ha-nga-me ha-nga-ec ;he-me he-dec he-nga he-nga-me he-nga-ec ;hnge-me hnge-dec hnge-nga hnge-nga-me hnge-nga-ec ;he-me he-dec he-nga he-nga~me he-nga-ec ;he-me hen-ec he-mwa he-mwa-me he-mwa-ec 
monter (vers L'intérieur du pays, en amont d'un cours d'eau, entrer dans une mai- son, sortir de l'eau, etc.) ;ta ;ta ;ta ;ta ;ta 
monter (vers le locuteur) monter (en s'éloignant) remonter remonter (en s'approchant) remonter (en s'éloignant) ;ta~-me ta-ec ta-nga ta-nga~me ta-nga-ec ;ta-me ta-ec ta-nga ta-nga-me ta-nga-ec ;ta-me ta-ec ta-nga ta-nga-me ta-nga-ec ;ta-me ta-ec ta-nga ta-nga-me ta-nga-ec ;ta-me ta-ec ta-mwa ta-nga~-me ta-mwa~ec 
descendre (vers le bord de mer, en avai d'uncours d'eau, sortir d'une maison, entre dans l'eau, etc.) : ;tip ;tip ;tic ;tic ;tic 
descendre (versle locuteur) descendre (ens'éloignant) redescendre redescendre (en approchant) redescendre (en s'éloignant) ;ti-phé tip-ec ti-kha ti-kha-me ti-kha-ec ;ti-vhée tiv-ec ti-ha ti-had-me ti-ha-ec ;tip-me ti-ec ti-kna ti-kna-me ti-kna-ec ;ti-me ti-ec ti-nga ti-nga~me ti-nga-ec ;ti-ve ti-ec ti-wa ti-wa-me ti-wa-ec 
passer sur l'autre versant d'une montagne descendre (d'une montagne) ;tipwa-tip ;tawa-tip ;tapwa-tic ;tawa-tic ;tawa-tic 
préfixe verbal de déplacement ;te- (T) ;te- ;te- ;te- ;te- 
marcher sans bruit marcher bras croisés dans le dos marcher avec charge sur ledos marcher sans fardeau marcher en s'‘abritant marcher vite traverser, passer, franchir rentrer (vers le haut) rentrer (vers le bas, dans l'eau, dans un trou, etc.) ;techyaakhd (7) te-biavhiing (7) ;te-hyaahd te-biavhiing ;te-hyaakno te-biafiing ;te-hyaango te-biaiing ;te-hyaango te-biating 
aller (déplacement neutre) aller en haut aller en bas ;hya- (T) hya-ta (2) hya~tip (T) ;hya- hya-ra hya-rip ;hyaa- hyaa-ta hyaa-tic ;hya- hya-ra hya-ric ;hya- hya-ra hya-ric 
aller chercher quelque chose ;hila/ koomai (T) hyakhadi/ koomai (0) ;hyahadi/ hyalagi/ koomai ;hila ;hyangadi/ hyalagi/ hila/ pe-hita ;hyalabwi 
chercher quelqu'un ;hila (sang) ;hyala Cyek) ;;hyala (-ek) ;hyala (-ek) 
trouver ;hmaa ko-n ;hmaa o-n ;taki ;hmaa xo-n/ taxi ;taxi 
trouver par hasard ;;;thathia ;tharia ;tharia (W) 
perdre ;pa-cian-i ;pa-cien-i ;pa-cien-i ;pa-cien~i ;pa-cien-i 
marcher, avancer ;hyathok (0) ;hyarok ;hngen dai-n ;hen dai-n 
se promener ;han pe-han (7) ;hemahen ;hnge-ma-hngen ;hemaen ;pweeno (Y) pweeno/ hemaen (I) 
marche, voyage, déplacement. ;hmano ;hmeno ;hmeno ;hmeno ;heno 
suivre, visiter ;hyakute (7) ;hyaure ;hyakute ;hyaxure ;huure 
marcher en file indienne, l'un derriére l'autre ;pe-han tai-le (7) ;pe-hen tai-le ;;te-yaic/ te-pe-yaic ;te-pe-hulic (Y) 
tirer quelqu'un, guider (a- veugle) ;;;;te-yaji (-ek) ;te-huli (-ek) (Y) 
conduire, mener quelqu'un ;;thooro hi-n ;;thooro-i-n ;huli (Y) 
aller chez les uns et autres, faire sa tournée ;les waladio (2) ;waladio ;;huluun 
se frayer un chemin en brousse ;thaaba (7) ;thaaba ;thaaba ;thaaba ;saaba 
perdu en brousse, égaré ;jauvhang (I) ;saap/ jauvha ;chaap ;saap ;niiva (Y) saap (W) 
aller sans regarder ot l'on va ;ka-bwewo (Tf) ;gaaba ;bweevo ;gaaba ;gaaba (W) 
passer ;than ;than ;than ;than ;than (W) 
s'approcher s'éloigner descendre en s'approchant descendre en s'éloignant monter en s'approchant monter en s'éloignant ;tha-me tha-dec ;tha-me tha-dec ;tha-me tha-dec ;tha-me tha-dec tha-di-me tha-di-ec tha-da~me tha-da-ec ;tha-me (W) than-ec (W) tha~ri-ve (i/) tha-ri-ec (Ww) tha~ra-me (¥)/ tha-ri-ec (iW) 
franchir, traverser (col, forét) ;;;than noova ;thaoot 
passer, dépasser un endroit ;;;;caateoot ;cureoot (xe-n* ca-tereoot (+) (Y¥) 
passer, dépasser ;yalaai (2) ;wedan ;fadavi ;wedan ;wedan
contourner, faire le tour de ;bicap ;biap ;bicap ;biap ;biap thebuna hwaran 
couper la route, traverser ;hyagapi ;thegavi séédan ;hnyawé ;hnyawé ;hyau 
franchir, passer par dessus ;hnyawé ;hnyawé cagaat ;hyaat ;cagaat ;cagaat 
traverser 4 gué (riviére) ;hyaat (T) cagaat (0) hmac 
arriver ;;hmac ;hmac ;hmac ;thao (Y) hmac {W) thao-ta (Y) hma-ra (W) thao-tic (Y) hma-ric (W) thao-hen (Y) hma~en (W) thao-mwa (Y) hma-wa (W) thao-ta~me (¥) hma-ra-me (W) thao-ti-ve (Y} hma-ri-ve (W) thao-he-me (Y) hma~e-me (W) thao-ta-mwa-me (Y) hma-ra-mwa-me (i¥) thao-ti-wa-me (Y) hma~ri-wa-me (WH) thao-he-mwa-me (1) hma~e-mwa-me (W) 
arriver en haut ;hma~ta ;hma-ra ;hma-ta ;hma-ra 
arriver en bas ;hma-tip ;hma-rip ;hma-tic ;hma-ric 
arriver transversalement ;hma-an ;hma-en ~ hma-an ;hma-hngen ;hma~en ~ hma-an 
arriver encore, revenir ;hma-kha ;hma-ha ;hma-kna ;hma-nga 
en haut, en s'ap- arriver prochant arriver prochant arriver en s'approchant revenir prochant revenir chant revenir en s'approchant ;hma-ta-me ;hma-ra-me ;hma-ta-me ;hma~-ra-me 
en bas en s'ap- ;hma-ti-phé ;hma-ri-vhé ;hma-tip-me ;hma-ri-me 
transversalement ;hma-a-me ;hma-e-me ;hma-hnge-me ;hma-e-me 
en haut en s'ap- ;hma-ta-nga-me ;hma-ra-nga-me ;hma~ta-nga-me ;hma-ra-nga~me 
en bas en s'appro- ;thma-t i-kha-me ;hma-ri-ha-me ;hma-ti-kna-me ;hma-r i-nga-me 
transversalement ;hma-a-nga~me ;hma-e-nga~me ;hma-hnge-nga-me ;hma-e~nga-me 
faire demi~-tour ;hitwec (Tf) hiiwek (0) ;hiiwec ;hiiwec ;hiiwec ;hiiec 
se retourner (pour voir) ;;thebanem ;thebanem ;thebanem ;thebanem (xe) thewee- (ek) 
(il) tourne, change de direc- tion (verbe réflécht) ;(nya) thewee (sang) ;(ye) thewee (yek) ;(ye) thewee(-ek) ;(ye) thewee(-ek) 
tourner (toupie) ;wetang (T) ;werang ;wetang ;werang ;wenyang 
décamper, ficher le camp, partir (en colére) ;wac (Z') ;wac ;wac ;Wwac ;hnyet 
se séparer, se disperser ;thiu/ vataan han (7) ;thiu/ varaan hen ;thivu/ vataan hngen ;thiu/ varaan hen ;thiu/ varaan hen 
laisser derriére, abandonner ;han o te-(sang) (T) ;than o te ;;than o te ;thayauk/ thaya- 
pénétrer (en montant, rentrer dans une maison, etc.) ;u-ta ;u-ra ;;ucra ;u-ra 
rentrer (vers le bas, ren- trer dans l'eau, dans un trou, se coucher (astre) ;u-tip ;u-rip ;;u-ric ;u-ric
s'enfoncer (ex. dans le sable) ;cilim (PT) ;cilim ;cilim ;cilim ;uric (Y) cilic (W) 
sortir (d'une maison) ;upa/ tii pwap ;uva/ urii pwap ;upa/ tii pwap ;uva/ urii pwap ;urii pwap (Y) ua/ urii pwap (Ww) 
sortir, apparaitre, déboucher ;thuuya (7) ;thuuya ;uvaat ;uvaat ;thaa (¥) (W) uaat 
entourer, encercler ;;taning ;taning ;taning ;caning 
faire le tour de ;;he-raning ;;he-raning ;he-yaning 
danser autour ;;pi-taning ;;pi-taning ;pi-caning 
courir ;theén ;thddn ;tneen ;tnoon ;‘c88n (2) cnoon (W) 
trotter (cheval) ;thé-pila (7) ;thd-pila ;tnee-pila ;tno-pila ;céé-pila (Y) cnoo-pila (Ww) 
conduire (auto, bateau) ;pa~thaén-i (7) ;pa-théén-i ;pa-tneen-i ;pa-tnoon-i ;pa-cé6n-i (Y) Ppa-cnoon-i (WwW) 
courir en emportant quelque chose ;théé-vhe (7) ;thdd-vhe ;tnee-fe ;tnoo-ve ;céb-e (Y) cnoo-e (W) 
poursuivre ;tholavie thola-(sang) ;tholavi ;tneen-i ;tnoon-i/ havai ;havai 
se sauver, détaler ;talap ;talep ;talep ;talep ;calep 
se sauver en emportant quel- que chose ;ta~vhe ;ta-vhe ;ta-fe ;ta-ve ;ca-e 
fuir, éviter quelqu'un ;tapei ;tavai ;tapi ;tavi ;cavi 
rattraper, rejoindre ;cadooi (T) ;cadooi ;cadooi ;cadooi ;cadooi 
buter, se cogner ;;thedia ;thedia ;thedia ;thedia 
tomber ;pwaligo (T) ;fwawe ;pwawe ;pwawe ;tiluk (Y¥) pwaot (W) 
tomber (ex. coco) ;tipwa ;tiwa/ tawa ;tapwa ;tawa ;tawa 
tomber de tout son long, s'abattre ;u (f) ;u ;u ;u ;u 
abattre quelque chose ;the~paugi (Tf) ;pa-uugi ;uui ;uui ;uui 
basculer, chavirer ;the-u (T) ;the-huu ;the-huu ;the-u ;the-u 
s'écrouler (mur) ;;tabo ;tana ;tana ;tebo 
glisser, déraper ;tanet (T) ;taanet/ taalavi ;teelapi ;teelavi ;teelap 
carter les jambes ;salaap (2) sala (0) ;salaam ;salaam ;salaam ;salaam (Y) 
sauter ;hyaat ;hyaat ;hayaat ;hyalaap ;hyalaap
sauter en L'air, ricocher ;hibit (T) ;hibit ;hyaget/ thi-hyaget javelo ;hyaget/thi~hyaget hibit ;hibit hyabwet/ thi-hyabwet 
sauter en l'air, rebondir ;hyagat (2) ;hyaget/ thi-hyaget ;thi-ho ;thi-o ;thi-ho thi-o 
6tre sur la pointe des pieds ;thi-ho ;thi-ho 
piétiner ;ilii (7) ;jliip ;iliip cota ko-n ;jliip cora xo-n ;jliip cora xe-n 
marcher sur, poser le pied sur quelque chose ;cota ko-n (T) ;cora o-n 
escalader, grimper (a un arbre) ;yova-ta (7) ;yova-ta ;;yova-ta/ corai 
poser le pied sur, fouler ;;;;pera ;pera (Y) tei he-n 
trépigner (comme un enfant) ;hmwatai ;teitei ho-n hno ;hno ;hno ;hnyo 
se poser, toucher terre ;hno ;;;tee-hyuu ;tee-hyuu 
casser avec le pied ;taa-hyuu ;taa-hyuu taa-bii/ taa~gali/ taa-bile ;tee-hyuu tee-bii - ;tee-bii ;tee-bii 
écraser avec le pied, piler ;taa-bii/ taa-gali/ taa~bile 
porter sur le dos ;thawan ;thawan ;thawavi ;thoai/ thawa caayivi ;thoap, thoai vaaivi 
tenir dans les bras (enfant) ;colai (T) ;colai ;caacipi ;hnogi ;hnyoni 
porter sur l'épaule ;hnogi ;hnogi ;hnogi ;thewagi ;thewaji 
tenir sous le bras ;;thewagi ;thepwagi ;;cooi 
porter en bandouliére ;thecooi hunooi (T) (T) ;theyooi ;thecooi ;theyooi ;hunyooi 
transporter ;;hunooi ;hunooi ;hunooi 
bat du cheval ;ba-huno (7) ;ba-huno ;ba-huno ;ba-huno ;ba-hunyo pe-labeei 
porter 4 deux sur un brancard ;pe-hloomi (T) ;pe-Labeei ;pe-Labeei ;pe-labeei bwexevap 
bretelles de portage ;banek (7) ;banek ;pap pape pave-n ;;bweevap pap, pao-n 
charge qu'on transporte ;hyan-hmano ;hyan-hmeno ;;pap, pao-n 
préfixe des fardeaux fardeau (en général) fagot (qu'on transporte) ;vhan~ (Tf) ;vhan- ;fan- ;fan- fan-pap fan-ceek ;phan- ohan-pao phan-ceek 
Sa part A porter, sa charge ;hmani-n (7) ;hmeni-n ;hmeni~n ;hmeni-n ;pao-n 
bagages ;bwan-mwau (7') ;bwan-mwau ;bwan-mwau ;bwan-mwau ;bwan-mwau 
poser 4 terre, déposer ;hnooi (PT) ;hnooi ;hnooi ;hnooi/ hnoe ;hnyooi
libre, sans fardeau ;thaning (T) ;thaning ;thaning ;thaning 
baisser la téte (respect) ;ciimo (Tf) ;ciimo ;ciimo ;ciimo ;ciimo 
détourner la téte (refus) ;;;;theexia 
lever la téte, le nez en l'air ;maka (T) ;hyabe ga-n ;maka ;maxa ;maxa 
ouvrir les yeux ;noot ;noot ;noot ;noot (Tendo) noon (Coutna) ;noon 
fermer les yeux ;maauc ;maauc ;maauc ;maauc ;maayim 
voir quelqu'un ;kali ;hwéne ;hwéne ;hwéne ;.noja-Cek) (Y¥) aani/ noja, noo-(ek) 
regarder en haut ;;hwé-da ;hwé-da ;hwé-da ;. no-da CW) 
regarder en bas ;;hwé-dip ;hwé-dic ;hwé-dic ;no-dic 
observer, contempler ;kalo (f) ;kalo ;kalo ;kalo (ne-ek) ;kalo (li-ek) 
fixer du regard (interrogatif) ;;;;knodee 
écarquiller les yeux, fixer ;nolaac (T) ;nolaac ;nolaac ;nolaac ;nolaac 
jeter un coup d'oeil ;thai thddk (7) ;thai-rhédk ;;thai-nook ;sai-rook 
chercher du regard ;koomai ;koomai 
regarder partout, fureter ;;;;canocanook 
ouvrir la bouche ;homaan ;homaan ;homaan ;homaan ;homaan 
aspiration lévres arrondies (bruit de baiser) ;thiibo (7) ;biigo ;biigo ;biigo ;biigom (Y) 
aspirer, gober ;tipi (2) ;tivi ;tipi ;tivi ;tivi 
aspirer bruyamment du liquide ;hluupwi ;hluup ;hluupwi ;hluupe hluui ;hluup.s hluui 
aspirer l'air entre les dents (pour les nettoyer aprés les repas) ;hliing (7) ;hliing ;hliik ;hliik ~ hliing ;hliing 
faire des "clics" avec la langue (pour faire avancer le cheval) ;tingting (7) ;;;tingting 
lécher ;hnami (2) ;hnami ;hnami ;hnami ;hnami 
avaler ;tephi/ nephéai (2) ;thevhi ;tepmi ;temi ;cevi 
attraper avec la bouche ;wamwi (7) ;wamwi ;wamwi ;wamwi ;wamwi 
tenir, agripper avec les dents ;caa ko-n (Tf) ;Caacte caa o-n ;caa ko-n ;caac, caa xo-n ;caace Caa xe-n 
couper en grignotant ;;cai-bune ;cai-bune ;cai-bune ;cai-bune 
percer avec les dents ;cai-dua (Tf) ;;cai-dua ;cai-dua ;cai-dua
couper avec les dents ;cai-gapi (Tf) ;cai-gavi ;cai-gapi cai-gane ;cai-gavi cai-gane ;cai-gane 
couper, ouvrir avec les dents ;;cai-bii ;cai-bii ;cai-bii ;cai-bii 
casser avec les dents ;cai-bii (T) ;kaubii ;kaubii ;kaubii ;kaubii 
croquer quelque chose de dur, de croustillant ;kaubii (TP) 
montrer les dents (rictus) ;;ciivayi ;ciipaci ;ciivayi ;hiivaji (Y) ciivaji (W) 
mordre (= manger de la viande) ;hwii ;hwii ;hwii ;hwii pe-hwiic ;hwii pe~hwiic 
se mordre, se battre (chiens) ;pe~pehwiic (7) ;pe-hwiic ;pe-hwiic ;;hwayuk 
siffler avec les lévres ;hwahyuk (7) hwayu (0) ;hwahyuk ;hwahyuk ;hwayuk 
siffler avec les doigts dans la bouche ;po~hyeen-wadit ;po-hyeen-wadit ;pmwa hyehwadit ;po-hyewad it ;po-hyeen-wadit (Y) po-hyoadit (W) 
souffler ;ivu huvi (7) (0) ;uvi ;hivu ;uvi ;ui 
embrasser ;qoophac, goophaa-n ;goovhac, goovhaa-n ;goopmac » qoopmaa-n ;goomac, qoomaa-n ;goovac -goovaa-n 
prendre, porter ;vhe ;vhe ;fe ;fe fe-da fe-dic fe-en fe-da-me fe-di-me fe-e-me fe-da-ec fe-di-ec fe-e-dec fe-da-nga~me fe-di-nga-me fe-e-nga-me fe-da-nga-ec fe-di-nga-ec fe-e-nga-ec ;phe phe-da phe-dic phe-en phe-da-me phe-di-ve phe-e-me ‘phe-da-ec phe~di-ec phe-en~ec phe-da-mwa-me phe-di-wa~me phe-e~mwa-me phe-da~mwa-ec phe-di-wa-ec phe~-e-mwa-ec 
porter en haut en bas transversalement ;vhe-da vhe-dip vhe-han vhe-da-me vhe-di-phé vhe-ha-me vhe-da-ec vhe-div-ec vhe-ha-dec vhe-da-nga-me vhe-di-kha-me vhe-ha-nga-me vhe-da-nga-ec vhe-di-kha-ec vhe-ha-nga-ec ;vhe-da vhe-dip vhe-en vhe-da-me vhe-di-vhé vhe-e-me vhe-da-ec che-div-ec vhe- e-dec vhe-da-nga-me vhe-di-ha-me vhe~e~-nga-me vhe-da-nga~ec vhe-di-ha-ec vhe-e-nga-ec ;fe-da fe-dic fe-en fe~-da-me fe-dip-me fe-e-me fe-da-ec fe-di-ec fe-e-dec fe-da-nga-me fe-di-kna-me fe-e-nga-me fe-da-nga-ec fe-di-kna-ec fe-e-nga-ec 
se prendre par le cou, s'en- lacer ;pe-beega (7) ;pe-beega ;;pe-beega/ pe-pingo ;pe-pingo 
prendre, tenir dans la main ;cimwi ;cimwi ;cimwi ;cimwi ;cimwi 
attraper, retenir ;ta~cimwi ;ta-yinwi ;ta-cimwi ;ta-yimwi ;ta-yimwi
attraper, bloquer (ballon) ;;tabwi 
pincer en se refermant (béni-~- tier) ;jim (T) ;homwi ;;homwi ;homwi 
se refermer (bénitier) ;;the-hyauhf ;;;hivei (XY) tabe 
attraper en soulevant (ex. ne marmite par L'anse) ;u- tabe (T) ;tabe ;tabe ;tabe 
soulever, relever bois qui est tombé) ;(ex. un hyabe ;hyabe ;hyabe ;hyabe ;hyabe 
soulever en retournant (ex. une natte) ;buli (2) ;buli ;buli ;buli ;_buli 
dresser, mettre debout, é- tablir ;patuki ;parugi ;paruti ;paruxi © parui ;payuri 
lever en L'air, main) (ex. ;la ;cega/ pa-yabi ;;cega ;cega 
enlever (les pierres du four) retirer (chapeau) ;hue (2) ;hue ;hue ;hue 
empoigner, saisir ;thoot ;thoot ;thoot ;thoot ;soot 
s'agripper, se retenir 4, cramponner ;cagooc (T) ;cagooc ;cagooc ;cagooc ;cagooc 
suspendre, accrocher ;pa-cagoo-i (T) ;pa-yagoo-i ;pa-cagoo-i ;pa-yagoo-i ;pa-yagoo-i 
balangoire ;;hyagooc ;hyagooc ;hyagooc ;hyagooc 
se balancer ;;pe-hyagooc ;pe-hyagooc ;pe-hyagooc ;pe-hyagooc 
pendre, @tre accroché (fruit) ;titaluk (7) ;tiraluk ;cagooc ;tiraluk ;cagooc 
faire tomber ;pa~tipwe (I) ;pariwe ;parapwe ;parawe ;parabwe 
lacher, laisser aller ;;;;panua ;panua 
lacher (eau), ouvrir (vannes) ;tala we ;tala we ;tala we ;tala we ;cala we 
rejeter, abandonner ;thalepwan ;thalewan ;thaipwan ;thaiwan ;thayauk/ thaiwan 
laisser ;hmang/. cepwan ;thauk/ tegan ;hmang ;thauk/ hmangen ;sauk/ hmangen 
laisser quelqu'un, ne pas s'en occuper ;te-(sang) (2) ;te-(yek) ;te-(ek) ;te-(ek) ;ce~(ek) 
mettre, poser, placer, donner ;na/ naana ;na ;na ;na ;na 
donner, tendre (vers le locuteur), donne ! mettre en haut mettre en bas mettre sur le cété, sur un plan horizontal ;na~me ;na-me ;na~me ;na-me ;na-me 
poser en haut ;;nadana ;nadana ;nadana ;nadana nadina 
poser en bas ;;nadina ;nadina ;nadina 
poser 4 cdté, horizontalement mettre dans quelque chose (en haut) ;na-da thé-n (T) ;na-da hé-n ;;na-da ne-n ;na~da re-n 
mettre dans quelque chose (en bas) ;na-dii thé-n (7) ;na-dii hé-n ;;na-dii ne-n ;na-dii re-n 
donner quelque chose 4 quel- qu'un (= poser main~a lui) ;na hi-n (7) ;na hi-n ;na hi-n ;na-i-n/ na... hi-n ;na hi-n (Y) na-i-n/ na... hi-n (W) 
tendre quelque chose 4 quel~ qu'un ;pataai (T) ;pataai ;pataai ;pataai ;pataai 
étendre, déployer (membre) ;thakeei ;thaxeei (T) ;thakeei ;thaxeei ;saxeei 
chercher 4 tatons (dans le noir, dans un trou, etc.) ;papi ;pavi (7) ;;pavi ;pavi 
pécher 4 la main dans les ;vatak (Tf) ;palep ;palep ;palep ;palep 
trous chercher en t&@tonnant ;;palevi ;hyabai ;nyabai ;nyabai 
fouiller dans un trou (a- vec un baton) ;thikhi (2) ;thihi ;thikni ;thingi ;thiwi 
fouiller pour repérer quel- que chose d'enfoui sous la terre (ex. magnania) ;;therexi ;theteki ;therexi ;therexi 
